Date,Time,Close,Open,High,Low,Volume
20260918,162400,83200,83200,83200,83200,12
20260918,162500,83100,83200,83200,83100,20
20260918,162600,83200,83200,83200,83200,1
20260918,162700,83200,83200,83200,83200,0
20260918,162800,83100,83100,83100,83100,6
20260918,162900,83200,83200,83200,83200,1
20260918,163000,83200,83200,83200,83200,14
20260918,163100,83200,83200,83200,83200,1
20260918,163200,83200,83200,83200,83200,1
20260918,163300,83200,83200,83200,83200,304
20260918,163400,83200,83300,83300,83200,329
20260918,163500,83200,83200,83200,83200,53
20260918,163600,83200,83200,83200,83200,0
20260918,163700,83100,83100,83100,83100,3
20260918,163800,83100,83100,83100,83100,105
20260918,163900,83200,83200,83200,83200,14
20260918,164000,83200,83200,83200,83200,0
20260918,164100,83200,83200,83200,83200,16
20260918,164200,83200,83200,83200,83200,8
20260918,164300,83200,83200,83200,83200,31
20260918,164400,83200,83200,83200,83200,48
20260918,164500,83200,83200,83200,83200,219
20260918,164600,83100,83100,83100,83100,3
20260918,164700,83200,83200,83200,83200,1
20260918,164800,83200,83200,83200,83200,34
20260918,164900,83200,83200,83200,83200,2
20260918,165000,83200,83200,83200,83200,6
20260918,165100,83200,83200,83200,83200,46
20260918,165200,83200,83200,83200,83200,128
20260918,165300,83200,83200,83200,83200,24
20260918,165400,83200,83200,83200,83200,138
20260918,165500,83200,83200,83200,83200,24
20260918,165600,83100,83200,83200,83100,40
20260918,165700,83200,83200,83200,83200,1
20260918,165800,83100,83100,83100,83100,3
20260918,165900,83200,83100,83200,83100,69
20260918,170000,83200,83200,83200,83200,15
20260918,170100,83200,83200,83200,83200,19
20260918,170200,83200,83200,83200,83200,2
20260918,170300,83200,83200,83200,83200,0
20260918,170400,83200,83200,83200,83200,0
20260918,170500,83200,83200,83200,83200,10
20260918,170600,83200,83200,83200,83200,0
20260918,170700,83200,83200,83200,83200,0
20260918,170800,83200,83200,83200,83200,2
20260918,170900,83100,83100,83100,83100,4
20260918,171000,83100,83100,83100,83100,4
20260918,171100,83100,83100,83100,83100,0
20260918,171200,83100,83100,83100,83100,1
20260918,171300,83100,83100,83100,83100,0
20260918,171400,83200,83200,83200,83200,10
20260918,171500,83200,83200,83200,83200,3
20260918,171600,83200,83200,83200,83200,0
20260918,171700,83200,83200,83200,83200,0
20260918,171800,83200,83200,83200,83200,0
